C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	   	2016-04-06T10:43:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	 BACKGROUND TEST  	2016-04-06T10:43:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	 Linha de base  	2016-04-06T10:44:05Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	 Linha de base  	2016-04-06T10:47:05Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	 Linha de base  	2016-04-06T10:59:27Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-1.edf	 Linha de base  	2016-04-06T11:02:14Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	Começo da gravação	2016-06-24T11:11:07Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	   	2016-06-24T11:11:06Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	   	2016-06-24T11:11:06Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	   	2016-06-24T11:11:06Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	 BACKGROUND TEST  	2016-06-24T11:11:06Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	 Linha de base  	2016-06-24T11:11:11Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\HDO-1-23.edf	 Linha de base  	2016-06-24T11:24:47Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	Começo da gravação	2016-05-21T15:06:00Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	   	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	 BACKGROUND TEST  	2016-05-21T15:05:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	 Linha de base  	2016-05-21T15:06:19Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-1.edf	 Linha de base  	2016-05-21T15:20:18Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	Taxa de amostragem	1000
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	Começo da gravação	2016-07-23T10:22:34Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	   	2016-07-23T10:22:33Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	   	2016-07-23T10:22:33Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	   	2016-07-23T10:22:33Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	   	2016-07-23T10:22:33Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	 BACKGROUND TEST  	2016-07-23T10:22:33Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	 Linha de base  	2016-07-23T10:22:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\IL-7-23.edf	 Linha de base  	2016-07-23T10:35:25Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	Começo da gravação	2016-05-24T15:18:45Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:44Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:44Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:44Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	 BACKGROUND TEST  	2016-05-24T15:18:44Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	   	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	 BACKGROUND 	2016-05-24T15:18:46Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	 Linha de base  	2016-05-24T15:20:10Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-1.edf	 Linha de base  	2016-05-24T15:34:24Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	Taxa de amostragem	1000
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	Começo da gravação	2016-08-03T16:25:04Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	   	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	 BACKGROUND TEST  	2016-08-03T16:25:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	 Linha de base  	2016-08-03T16:25:09Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\JCC-10-23.edf	 Linha de base  	2016-08-03T16:37:03Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	Começo da gravação	2016-06-16T15:14:43Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	   	2016-06-16T15:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	   	2016-06-16T15:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	   	2016-06-16T15:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	   	2016-06-16T15:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	 BACKGROUND TEST  	2016-06-16T15:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	 Linha de base  	2016-06-16T15:14:54Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\LBN-12-1.edf	 Linha de base  	2016-06-16T15:28:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	Começo da gravação	2016-07-05T16:13:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	   	2016-07-05T16:13:49Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	   	2016-07-05T16:13:49Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	 BACKGROUND TEST  	2016-07-05T16:13:49Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	 Linha de base  	2016-07-05T16:13:51Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MDG-15-1.edf	 Linha de base  	2016-07-05T16:30:08Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	Começo da gravação	2016-05-31T15:58:51Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	   	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	   	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	   	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	   	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	   	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	 BACKGROUND TEST  	2016-05-31T15:58:50Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	 Linha de base  	2016-05-31T15:58:57Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-1.edf	 Linha de base  	2016-05-31T16:12:37Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	Taxa de amostragem	1000
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	Começo da gravação	2016-08-02T16:07:39Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	   	2016-08-02T16:07:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	   	2016-08-02T16:07:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	   	2016-08-02T16:07:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	   	2016-08-02T16:07:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	 BACKGROUND TEST  	2016-08-02T16:07:38Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	 Linha de base  	2016-08-02T16:07:44Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLLC-9-23.edf	 Linha de base  	2016-08-02T16:19:49Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	Começo da gravação	2016-05-19T15:55:53Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	   	2016-05-19T15:55:52Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	   	2016-05-19T15:55:52Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	 BACKGROUND TEST  	2016-05-19T15:55:52Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	 Linha de base  	2016-05-19T15:55:55Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	 Linha de base  	2016-05-19T15:59:16Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-1.edf	 Linha de base  	2016-05-19T16:14:42Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\MLSGB-5-23.edf	Taxa de amostragem	200
